Student_ID,Year,Domain,Difficulty,Correct,Score
2023FE101,2023,DSA,Moderate,1,10
2023FE101,2023,DSA,Easy,1,10
2023FE101,2023,DSA,Difficult,0,0
2023FE101,2023,DBMS,Easy,0,0
2023FE101,2023,DBMS,Difficult,0,0
2023FE101,2023,DBMS,Moderate,0,0
2023FE101,2023,OS,Difficult,1,10
2023FE101,2023,OS,Moderate,1,10
2023FE101,2023,OS,Moderate,1,10
2023FE101,2023,CN,Easy,0,0
2023FE101,2023,CN,Easy,0,0
2023FE101,2023,CN,Moderate,0,0
2023FE101,2023,Aptitude,Difficult,1,10
2023FE101,2023,Aptitude,Difficult,1,10
2023FE101,2023,Aptitude,Moderate,0,0
2023FE102,2023,DSA,Moderate,1,10
2023FE102,2023,DSA,Difficult,1,10
2023FE102,2023,DSA,Moderate,0,0
2023FE102,2023,DBMS,Easy,0,0
2023FE102,2023,DBMS,Easy,0,0
2023FE102,2023,DBMS,Moderate,1,10
2023FE102,2023,OS,Difficult,0,0
2023FE102,2023,OS,Difficult,0,0
2023FE102,2023,OS,Easy,0,0
2023FE102,2023,CN,Moderate,1,10
2023FE102,2023,CN,Moderate,0,0
2023FE102,2023,CN,Moderate,0,0
2023FE102,2023,Aptitude,Moderate,1,10
2023FE102,2023,Aptitude,Moderate,0,0
2023FE102,2023,Aptitude,Easy,0,0
2023FE103,2023,DSA,Moderate,0,0
2023FE103,2023,DSA,Moderate,0,0
2023FE103,2023,DSA,Moderate,0,0
2023FE103,2023,DBMS,Difficult,0,0
2023FE103,2023,DBMS,Easy,1,10
2023FE103,2023,DBMS,Easy,0,0
2023FE103,2023,OS,Easy,0,0
2023FE103,2023,OS,Moderate,0,0
2023FE103,2023,OS,Difficult,1,10
2023FE103,2023,CN,Easy,1,10
2023FE103,2023,CN,Easy,0,0
2023FE103,2023,CN,Moderate,0,0
2023FE103,2023,Aptitude,Easy,0,0
2023FE103,2023,Aptitude,Easy,1,10
2023FE103,2023,Aptitude,Easy,0,0
2023FE104,2023,DSA,Moderate,1,10
2023FE104,2023,DSA,Difficult,0,0
2023FE104,2023,DSA,Moderate,1,10
2023FE104,2023,DBMS,Easy,0,0
2023FE104,2023,DBMS,Difficult,0,0
2023FE104,2023,DBMS,Easy,0,0
2023FE104,2023,OS,Difficult,1,10
2023FE104,2023,OS,Moderate,0,0
2023FE104,2023,OS,Difficult,0,0
2023FE104,2023,CN,Difficult,1,10
2023FE104,2023,CN,Easy,1,10
2023FE104,2023,CN,Moderate,0,0
2023FE104,2023,Aptitude,Difficult,0,0
2023FE104,2023,Aptitude,Easy,0,0
2023FE104,2023,Aptitude,Difficult,1,10
2023FE105,2023,DSA,Difficult,0,0
2023FE105,2023,DSA,Easy,0,0
2023FE105,2023,DSA,Difficult,0,0
2023FE105,2023,DBMS,Moderate,1,10
2023FE105,2023,DBMS,Moderate,1,10
2023FE105,2023,DBMS,Moderate,0,0
2023FE105,2023,OS,Difficult,1,10
2023FE105,2023,OS,Difficult,1,10
2023FE105,2023,OS,Moderate,1,10
2023FE105,2023,CN,Moderate,1,10
2023FE105,2023,CN,Easy,0,0
2023FE105,2023,CN,Moderate,1,10
2023FE105,2023,Aptitude,Easy,1,10
2023FE105,2023,Aptitude,Easy,0,0
2023FE105,2023,Aptitude,Difficult,0,0
2023FE106,2023,DSA,Easy,1,10
2023FE106,2023,DSA,Easy,0,0
2023FE106,2023,DSA,Difficult,1,10
2023FE106,2023,DBMS,Difficult,1,10
2023FE106,2023,DBMS,Easy,0,0
2023FE106,2023,DBMS,Difficult,1,10
2023FE106,2023,OS,Moderate,0,0
2023FE106,2023,OS,Easy,0,0
2023FE106,2023,OS,Easy,0,0
2023FE106,2023,CN,Easy,1,10
2023FE106,2023,CN,Easy,1,10
2023FE106,2023,CN,Difficult,1,10
2023FE106,2023,Aptitude,Difficult,0,0
2023FE106,2023,Aptitude,Moderate,1,10
2023FE106,2023,Aptitude,Difficult,1,10
2023FE107,2023,DSA,Easy,1,10
2023FE107,2023,DSA,Moderate,0,0
2023FE107,2023,DSA,Easy,1,10
2023FE107,2023,DBMS,Easy,1,10
2023FE107,2023,DBMS,Difficult,0,0
2023FE107,2023,DBMS,Difficult,1,10
2023FE107,2023,OS,Difficult,0,0
2023FE107,2023,OS,Difficult,1,10
2023FE107,2023,OS,Easy,0,0
2023FE107,2023,CN,Difficult,0,0
2023FE107,2023,CN,Moderate,0,0
2023FE107,2023,CN,Easy,0,0
2023FE107,2023,Aptitude,Difficult,1,10
2023FE107,2023,Aptitude,Easy,0,0
2023FE107,2023,Aptitude,Moderate,0,0
2023FE108,2023,DSA,Difficult,1,10
2023FE108,2023,DSA,Difficult,0,0
2023FE108,2023,DSA,Difficult,0,0
2023FE108,2023,DBMS,Moderate,1,10
2023FE108,2023,DBMS,Difficult,0,0
2023FE108,2023,DBMS,Moderate,0,0
2023FE108,2023,OS,Difficult,0,0
2023FE108,2023,OS,Difficult,1,10
2023FE108,2023,OS,Difficult,1,10
2023FE108,2023,CN,Difficult,1,10
2023FE108,2023,CN,Difficult,0,0
2023FE108,2023,CN,Difficult,0,0
2023FE108,2023,Aptitude,Easy,0,0
2023FE108,2023,Aptitude,Moderate,1,10
2023FE108,2023,Aptitude,Difficult,0,0
2023FE109,2023,DSA,Difficult,1,10
2023FE109,2023,DSA,Moderate,0,0
2023FE109,2023,DSA,Difficult,1,10
2023FE109,2023,DBMS,Moderate,0,0
2023FE109,2023,DBMS,Easy,1,10
2023FE109,2023,DBMS,Moderate,1,10
2023FE109,2023,OS,Easy,1,10
2023FE109,2023,OS,Easy,0,0
2023FE109,2023,OS,Easy,0,0
2023FE109,2023,CN,Easy,0,0
2023FE109,2023,CN,Moderate,1,10
2023FE109,2023,CN,Moderate,1,10
2023FE109,2023,Aptitude,Moderate,0,0
2023FE109,2023,Aptitude,Easy,1,10
2023FE109,2023,Aptitude,Difficult,0,0
2023FE110,2023,DSA,Difficult,0,0
2023FE110,2023,DSA,Difficult,1,10
2023FE110,2023,DSA,Difficult,0,0
2023FE110,2023,DBMS,Moderate,1,10
2023FE110,2023,DBMS,Difficult,0,0
2023FE110,2023,DBMS,Difficult,1,10
2023FE110,2023,OS,Easy,0,0
2023FE110,2023,OS,Easy,0,0
2023FE110,2023,OS,Difficult,1,10
2023FE110,2023,CN,Easy,1,10
2023FE110,2023,CN,Moderate,1,10
2023FE110,2023,CN,Easy,1,10
2023FE110,2023,Aptitude,Moderate,1,10
2023FE110,2023,Aptitude,Easy,0,0
2023FE110,2023,Aptitude,Difficult,1,10
2023FE111,2023,DSA,Difficult,0,0
2023FE111,2023,DSA,Moderate,1,10
2023FE111,2023,DSA,Moderate,0,0
2023FE111,2023,DBMS,Moderate,1,10
2023FE111,2023,DBMS,Difficult,1,10
2023FE111,2023,DBMS,Moderate,0,0
2023FE111,2023,OS,Easy,0,0
2023FE111,2023,OS,Easy,1,10
2023FE111,2023,OS,Easy,0,0
2023FE111,2023,CN,Easy,1,10
2023FE111,2023,CN,Easy,0,0
2023FE111,2023,CN,Difficult,0,0
2023FE111,2023,Aptitude,Moderate,0,0
2023FE111,2023,Aptitude,Moderate,1,10
2023FE111,2023,Aptitude,Difficult,0,0
2023FE112,2023,DSA,Difficult,1,10
2023FE112,2023,DSA,Easy,1,10
2023FE112,2023,DSA,Moderate,1,10
2023FE112,2023,DBMS,Difficult,0,0
2023FE112,2023,DBMS,Moderate,1,10
2023FE112,2023,DBMS,Difficult,1,10
2023FE112,2023,OS,Moderate,1,10
2023FE112,2023,OS,Moderate,0,0
2023FE112,2023,OS,Difficult,1,10
2023FE112,2023,CN,Difficult,0,0
2023FE112,2023,CN,Moderate,0,0
2023FE112,2023,CN,Difficult,0,0
2023FE112,2023,Aptitude,Moderate,0,0
2023FE112,2023,Aptitude,Difficult,1,10
2023FE112,2023,Aptitude,Difficult,1,10
2023FE113,2023,DSA,Moderate,1,10
2023FE113,2023,DSA,Difficult,1,10
2023FE113,2023,DSA,Difficult,1,10
2023FE113,2023,DBMS,Moderate,1,10
2023FE113,2023,DBMS,Difficult,1,10
